model,best_params,best_seuil,score,train_score,val_score,test_score
LogisticRegression,"{'smote__sampling_strategy': 0.56391216214132, 'smote__k_neighbors': 6, 'feature_selection__threshold': 0.01, 'clf__C': 22.037356662259292, 'clf__penalty': 'l1', 'clf__class_weight': 'balanced'}",0.53,score_métier,0.637464126891214,0.6341877840377877,0.6433391326970294
LogisticRegression,"{'smote__sampling_strategy': 0.56391216214132, 'smote__k_neighbors': 6, 'feature_selection__threshold': 0.01, 'clf__C': 22.037356662259292, 'clf__penalty': 'l1', 'clf__class_weight': 'balanced'}",0.53,recall,0.6297079556898288,0.6283484390735146,0.630614300100705
LogisticRegression,"{'smote__sampling_strategy': 0.56391216214132, 'smote__k_neighbors': 6, 'feature_selection__threshold': 0.01, 'clf__C': 22.037356662259292, 'clf__penalty': 'l1', 'clf__class_weight': 'balanced'}",0.53,avg_precision,0.22318274416908593,0.2204958060831519,0.2314599012927631
RandomForestClassifier,"{'smote__sampling_strategy': 0.8438630554492853, 'smote__k_neighbors': 4, 'clf__n_estimators': 63, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__class_weight': 'balanced_subsample'}",0.55,score_métier,0.5316536995032641,0.5257676642033121,0.5386253882050699
RandomForestClassifier,"{'smote__sampling_strategy': 0.8438630554492853, 'smote__k_neighbors': 4, 'clf__n_estimators': 63, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__class_weight': 'balanced_subsample'}",0.55,recall,0.55730110775428,0.5507049345417926,0.5609264853977844
RandomForestClassifier,"{'smote__sampling_strategy': 0.8438630554492853, 'smote__k_neighbors': 4, 'clf__n_estimators': 63, 'clf__max_depth': 3, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__class_weight': 'balanced_subsample'}",0.55,avg_precision,0.1718636061342836,0.16803447031946273,0.17798400123062108
LGBMClassifier,"{'smote__sampling_strategy': 0.5998368910791798, 'smote__k_neighbors': 7, 'clf__n_estimators': 80, 'clf__max_depth': 3, 'clf__learning_rate': 0.1861880070514171, 'clf__subsample': 0.5852620618436457, 'clf__colsample_bytree': 0.5325257964926398, 'clf__num_leaves': 144, 'clf__min_child_samples': 30, 'clf__reg_alpha': 4.041986740582305, 'clf__reg_lambda': 1.5230688458668533, 'clf__class_weight': 'balanced'}",0.23,score_métier,0.6002130029348878,0.5845548482557336,0.6043153769857401
LGBMClassifier,"{'smote__sampling_strategy': 0.5998368910791798, 'smote__k_neighbors': 7, 'clf__n_estimators': 80, 'clf__max_depth': 3, 'clf__learning_rate': 0.1861880070514171, 'clf__subsample': 0.5852620618436457, 'clf__colsample_bytree': 0.5325257964926398, 'clf__num_leaves': 144, 'clf__min_child_samples': 30, 'clf__reg_alpha': 4.041986740582305, 'clf__reg_lambda': 1.5230688458668533, 'clf__class_weight': 'balanced'}",0.23,recall,0.6026686807653575,0.607754279959718,0.6028197381671702
LGBMClassifier,"{'smote__sampling_strategy': 0.5998368910791798, 'smote__k_neighbors': 7, 'clf__n_estimators': 80, 'clf__max_depth': 3, 'clf__learning_rate': 0.1861880070514171, 'clf__subsample': 0.5852620618436457, 'clf__colsample_bytree': 0.5325257964926398, 'clf__num_leaves': 144, 'clf__min_child_samples': 30, 'clf__reg_alpha': 4.041986740582305, 'clf__reg_lambda': 1.5230688458668533, 'clf__class_weight': 'balanced'}",0.23,avg_precision,0.21200319381692287,0.20361812612573937,0.21281899686555855
